t=2026-01-24T15:18:02+0300 lvl=info msg="no configuration paths supplied"
t=2026-01-24T15:18:02+0300 lvl=info msg="using configuration at default config path" path="/Users/nurayselcetin/Library/Application Support/ngrok/ngrok.yml"
t=2026-01-24T15:18:02+0300 lvl=info msg="open config file" path="/Users/nurayselcetin/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-01-24T16:03:30+0300 lvl=info msg="join connections" obj=join id=8f54f7b2ea4d l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:03:30+0300 lvl=info msg="join connections" obj=join id=02316626fb15 l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:04:28+0300 lvl=info msg="join connections" obj=join id=776fba5f4583 l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:04:28+0300 lvl=info msg="join connections" obj=join id=10765db161fc l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:04:40+0300 lvl=info msg="join connections" obj=join id=0b197b59b9fc l=127.0.0.1:8000 r=188.132.156.105:23806
t=2026-01-24T16:05:10+0300 lvl=info msg="join connections" obj=join id=6aadc4a3d8fc l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:05:36+0300 lvl=info msg="join connections" obj=join id=c0cd116367c5 l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:05:36+0300 lvl=info msg="join connections" obj=join id=eef61254e8ac l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:05:42+0300 lvl=info msg="join connections" obj=join id=e6463ca4512e l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:05:49+0300 lvl=info msg="join connections" obj=join id=005c96a298a0 l=127.0.0.1:8000 r=78.173.134.207:9831
t=2026-01-24T16:05:49+0300 lvl=info msg="join connections" obj=join id=6228296522fa l=127.0.0.1:8000 r=78.173.134.207:9831
t=2026-01-24T16:06:02+0300 lvl=info msg="join connections" obj=join id=9f46ceaf262b l=127.0.0.1:8000 r=78.173.134.207:9831
t=2026-01-24T16:06:02+0300 lvl=info msg="join connections" obj=join id=8fbcdce839fa l=127.0.0.1:8000 r=78.173.134.207:9831
t=2026-01-24T16:08:30+0300 lvl=info msg="join connections" obj=join id=a40ca81339ee l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:08:30+0300 lvl=info msg="join connections" obj=join id=bb74489c59a7 l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:08:42+0300 lvl=info msg="join connections" obj=join id=862b6c22d62b l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:08:59+0300 lvl=info msg="join connections" obj=join id=30a7c4bb1dcc l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:09:03+0300 lvl=info msg="join connections" obj=join id=b1866d17a2b6 l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:09:15+0300 lvl=info msg="join connections" obj=join id=9db8bf33f0d6 l=127.0.0.1:8000 r=88.230.148.238:27184
t=2026-01-24T16:15:23+0300 lvl=info msg="join connections" obj=join id=5357ee7b9316 l=127.0.0.1:8000 r=88.230.148.238:28211
t=2026-01-24T16:15:24+0300 lvl=info msg="join connections" obj=join id=e6fa08af2a21 l=127.0.0.1:8000 r=88.230.148.238:28211
t=2026-01-24T16:15:44+0300 lvl=info msg="join connections" obj=join id=efc056f9bb9b l=127.0.0.1:8000 r=88.230.148.238:28211
t=2026-01-24T16:15:56+0300 lvl=info msg="join connections" obj=join id=190336372310 l=127.0.0.1:8000 r=88.230.148.238:28211
t=2026-01-24T16:16:29+0300 lvl=info msg="join connections" obj=join id=b56e8a51c3aa l=127.0.0.1:8000 r=88.230.148.238:28211
t=2026-01-24T16:16:32+0300 lvl=info msg="join connections" obj=join id=b64077ce95e4 l=127.0.0.1:8000 r=88.230.148.238:28211
t=2026-01-24T16:16:39+0300 lvl=info msg="join connections" obj=join id=9bf8c0458c69 l=127.0.0.1:8000 r=88.230.148.238:28211
t=2026-01-24T16:16:49+0300 lvl=info msg="join connections" obj=join id=284eb530cdef l=127.0.0.1:8000 r=88.230.148.238:28211
t=2026-01-24T16:30:22+0300 lvl=info msg="join connections" obj=join id=d008ea0d38f9 l=127.0.0.1:8000 r=88.230.148.238:26158
t=2026-01-24T16:30:23+0300 lvl=info msg="join connections" obj=join id=b1f71d1b47af l=127.0.0.1:8000 r=88.230.148.238:26158
t=2026-01-24T16:30:42+0300 lvl=info msg="join connections" obj=join id=46e721380b6c l=127.0.0.1:8000 r=88.230.148.238:26158
t=2026-01-24T16:30:46+0300 lvl=info msg="join connections" obj=join id=38a7b33844b7 l=127.0.0.1:8000 r=88.230.148.238:26158
t=2026-01-24T16:30:59+0300 lvl=info msg="join connections" obj=join id=384b61229dc6 l=127.0.0.1:8000 r=88.230.148.238:26158
t=2026-01-24T16:30:59+0300 lvl=info msg="join connections" obj=join id=4f404a8daaef l=127.0.0.1:8000 r=88.230.148.238:26158
t=2026-01-24T16:38:20+0300 lvl=info msg="join connections" obj=join id=f00b5671f284 l=127.0.0.1:8000 r=88.230.148.238:26847
t=2026-01-24T16:38:20+0300 lvl=info msg="join connections" obj=join id=703846ea5c2d l=127.0.0.1:8000 r=88.230.148.238:26847
t=2026-01-24T16:39:15+0300 lvl=info msg="join connections" obj=join id=1962da2bb41f l=127.0.0.1:8000 r=88.230.148.238:26847
t=2026-01-24T16:39:35+0300 lvl=info msg="join connections" obj=join id=70e84d348dd6 l=127.0.0.1:8000 r=88.230.148.238:26847
t=2026-01-24T16:39:36+0300 lvl=info msg="join connections" obj=join id=766983aac10c l=127.0.0.1:8000 r=88.230.148.238:26847
t=2026-01-24T16:39:53+0300 lvl=info msg="join connections" obj=join id=23ad452d6574 l=127.0.0.1:8000 r=88.230.148.238:26847
t=2026-01-24T16:39:55+0300 lvl=info msg="join connections" obj=join id=3cbb3f019b2b l=127.0.0.1:8000 r=88.230.148.238:26847
t=2026-01-24T16:40:00+0300 lvl=info msg="join connections" obj=join id=6f74f710bcf8 l=127.0.0.1:8000 r=88.230.148.238:26847
t=2026-01-24T16:43:43+0300 lvl=info msg="join connections" obj=join id=3700056d2fea l=127.0.0.1:8000 r=88.230.148.238:26847
t=2026-01-24T16:43:43+0300 lvl=info msg="join connections" obj=join id=1875c7114466 l=127.0.0.1:8000 r=88.230.148.238:26847
t=2026-01-24T16:44:01+0300 lvl=info msg="join connections" obj=join id=6f0b64b5357c l=127.0.0.1:8000 r=88.230.148.238:26847
t=2026-01-24T16:44:01+0300 lvl=info msg="join connections" obj=join id=da38862793ac l=127.0.0.1:8000 r=88.230.148.238:26847
t=2026-01-24T16:44:08+0300 lvl=info msg="join connections" obj=join id=5947abf40ab8 l=127.0.0.1:8000 r=88.230.148.238:26847
t=2026-01-24T17:15:29+0300 lvl=info msg="join connections" obj=join id=ca879af45a30 l=127.0.0.1:8000 r=5.27.207.8:54942
t=2026-01-24T17:15:36+0300 lvl=info msg="join connections" obj=join id=fc749b50bf59 l=127.0.0.1:8000 r=5.27.207.8:54942
t=2026-01-24T17:15:43+0300 lvl=info msg="join connections" obj=join id=dcc0250f4aca l=127.0.0.1:8000 r=5.27.207.8:54942
t=2026-01-24T17:30:34+0300 lvl=info msg="join connections" obj=join id=dffa3d61a3c7 l=127.0.0.1:8000 r=88.230.148.238:26174
t=2026-01-24T17:30:34+0300 lvl=info msg="join connections" obj=join id=c16d5a5b323e l=127.0.0.1:8000 r=88.230.148.238:26174
t=2026-01-24T17:30:41+0300 lvl=info msg="join connections" obj=join id=b05ef0123f54 l=127.0.0.1:8000 r=88.230.148.238:26174
t=2026-01-24T17:31:26+0300 lvl=info msg="join connections" obj=join id=ca19d5b0b85b l=127.0.0.1:8000 r=88.230.148.238:26174
t=2026-01-24T17:31:37+0300 lvl=info msg="join connections" obj=join id=e17c79193f0f l=127.0.0.1:8000 r=88.230.148.238:26174
t=2026-01-24T17:31:37+0300 lvl=info msg="join connections" obj=join id=a78ba01b9f73 l=127.0.0.1:8000 r=88.230.148.238:26174
t=2026-01-24T17:32:43+0300 lvl=info msg="join connections" obj=join id=7a8a26badfe4 l=127.0.0.1:8000 r=88.230.148.238:26174
t=2026-01-24T17:32:43+0300 lvl=info msg="join connections" obj=join id=65218681135f l=127.0.0.1:8000 r=88.230.148.238:26174
t=2026-01-24T17:32:49+0300 lvl=info msg="join connections" obj=join id=e1f47567bab4 l=127.0.0.1:8000 r=88.230.148.238:26174
t=2026-01-24T17:32:49+0300 lvl=info msg="join connections" obj=join id=238fe28e8a30 l=127.0.0.1:8000 r=88.230.148.238:26174
t=2026-01-24T17:33:29+0300 lvl=info msg="join connections" obj=join id=ba9cd55fcc6a l=127.0.0.1:8000 r=88.230.148.238:26174
t=2026-01-24T17:33:30+0300 lvl=info msg="join connections" obj=join id=1598b5cb55a5 l=127.0.0.1:8000 r=88.230.148.238:26174
t=2026-01-24T17:33:41+0300 lvl=info msg="join connections" obj=join id=6e701c4987b6 l=127.0.0.1:8000 r=88.230.148.238:26174
t=2026-01-24T17:34:03+0300 lvl=info msg="join connections" obj=join id=5296a9593782 l=127.0.0.1:8000 r=88.230.148.238:26174
t=2026-01-24T17:34:03+0300 lvl=info msg="join connections" obj=join id=b25493b12eb5 l=127.0.0.1:8000 r=88.230.148.238:26174
t=2026-01-24T17:40:49+0300 lvl=info msg="join connections" obj=join id=513eae4d0382 l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:40:49+0300 lvl=info msg="join connections" obj=join id=b4d24c74d134 l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:41:37+0300 lvl=info msg="join connections" obj=join id=22dc913665cb l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:41:38+0300 lvl=info msg="join connections" obj=join id=269d068e59cf l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:42:11+0300 lvl=info msg="join connections" obj=join id=4c4dc83ef777 l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:42:11+0300 lvl=info msg="join connections" obj=join id=c5a7deedb3c7 l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:42:26+0300 lvl=info msg="join connections" obj=join id=f0bfecaf8a14 l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:42:31+0300 lvl=info msg="join connections" obj=join id=28fc6dd82280 l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:42:32+0300 lvl=info msg="join connections" obj=join id=e81d6f94da86 l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:44:35+0300 lvl=info msg="join connections" obj=join id=763be0ebaca6 l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:44:35+0300 lvl=info msg="join connections" obj=join id=dd94ddcc74c0 l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:44:40+0300 lvl=info msg="join connections" obj=join id=39e0a525b7f7 l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:44:42+0300 lvl=info msg="join connections" obj=join id=396fa63702fa l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:45:08+0300 lvl=info msg="join connections" obj=join id=762ed12202f8 l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:45:24+0300 lvl=info msg="join connections" obj=join id=356b80efc373 l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:45:36+0300 lvl=info msg="join connections" obj=join id=d1790d3c2a55 l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:45:45+0300 lvl=info msg="join connections" obj=join id=8c6847a7044f l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:45:54+0300 lvl=info msg="join connections" obj=join id=20e5db73f9f7 l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T17:45:54+0300 lvl=info msg="join connections" obj=join id=d7316c50ec29 l=127.0.0.1:8000 r=88.230.148.238:29203
t=2026-01-24T18:39:48+0300 lvl=info msg="join connections" obj=join id=66179885e264 l=127.0.0.1:8000 r=188.132.156.105:23797
t=2026-01-24T18:40:07+0300 lvl=info msg="join connections" obj=join id=34dfe067e81c l=127.0.0.1:8000 r=151.135.215.111:20964
t=2026-01-24T18:40:23+0300 lvl=info msg="join connections" obj=join id=ea1e58c3e079 l=127.0.0.1:8000 r=188.132.156.105:23797
t=2026-01-24T18:40:23+0300 lvl=info msg="join connections" obj=join id=db86a34bc13c l=127.0.0.1:8000 r=151.135.215.111:20964
t=2026-01-24T18:41:35+0300 lvl=info msg="join connections" obj=join id=2cdf90b3bb41 l=127.0.0.1:8000 r=151.135.215.111:21690
t=2026-01-24T18:42:17+0300 lvl=info msg="join connections" obj=join id=7909aa552f2b l=127.0.0.1:8000 r=188.132.156.105:24030
t=2026-01-24T18:42:22+0300 lvl=info msg="join connections" obj=join id=13af9b0b9263 l=127.0.0.1:8000 r=188.132.156.105:24030
t=2026-01-24T18:42:33+0300 lvl=info msg="join connections" obj=join id=4140626384e3 l=127.0.0.1:8000 r=188.132.156.105:24030
t=2026-01-24T18:42:33+0300 lvl=info msg="join connections" obj=join id=65c5cc129059 l=127.0.0.1:8000 r=188.132.156.105:24030
t=2026-01-24T18:42:34+0300 lvl=info msg="join connections" obj=join id=9c544ed5ab71 l=127.0.0.1:8000 r=188.132.156.105:24030
t=2026-01-24T18:42:35+0300 lvl=info msg="join connections" obj=join id=55ab9764b956 l=127.0.0.1:8000 r=188.132.156.105:24030
t=2026-01-24T20:48:26+0300 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=a8e8becfe3a1 err="read tcp 192.168.1.140:50696->3.123.177.80:443: read: connection reset by peer"
t=2026-01-24T20:48:27+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-24T20:48:27+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-24T20:48:41+0300 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=af81a55381ae clientid=9fbdc3ed25ea45c917599630007b2278
t=2026-01-24T21:01:34+0300 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=a8e8becfe3a1 err="read tcp 192.168.1.140:53996->3.123.177.80:443: read: connection reset by peer"
t=2026-01-24T21:01:35+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-24T21:01:35+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-24T21:18:54+0300 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=a8e8becfe3a1 err="read tcp 192.168.1.140:54007->52.28.187.147:443: read: connection reset by peer"
t=2026-01-24T21:18:54+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-24T21:18:54+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-24T21:19:04+0300 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=3768259a01c4 clientid=9fbdc3ed25ea45c917599630007b2278
t=2026-01-24T21:37:03+0300 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=a8e8becfe3a1 err="read tcp 192.168.1.140:54046->3.122.29.226:443: read: connection reset by peer"
t=2026-01-24T21:37:04+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-24T21:37:04+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-24T21:54:50+0300 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=a4cad23dc1e0 clientid=9fbdc3ed25ea45c917599630007b2278
t=2026-01-24T22:11:47+0300 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=a8e8becfe3a1 err="read tcp 192.168.1.140:54061->3.125.92.105:443: read: connection reset by peer"
t=2026-01-24T22:11:48+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-24T22:11:48+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-24T22:27:06+0300 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=348621d311fa clientid=9fbdc3ed25ea45c917599630007b2278
t=2026-01-24T22:27:12+0300 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=a8e8becfe3a1 err="read tcp 192.168.1.140:54093->3.125.234.140:443: read: connection reset by peer"
t=2026-01-24T22:27:13+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-24T22:27:13+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-24T22:27:17+0300 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=da556be132ba clientid=9fbdc3ed25ea45c917599630007b2278
t=2026-01-24T22:27:28+0300 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=d8116939e5ee clientid=9fbdc3ed25ea45c917599630007b2278
t=2026-01-24T22:42:03+0300 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=a8e8becfe3a1 err="read tcp 192.168.1.140:54108->3.123.83.158:443: read: connection reset by peer"
t=2026-01-24T22:42:04+0300 lvl=info msg="client session established" obj=tunnels.session
t=2026-01-24T22:42:04+0300 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-01-24T22:52:35+0300 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=78e4762fdc43 clientid=9fbdc3ed25ea45c917599630007b2278
